Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score,Plot,Cleaned_Description,clean_plot,plot_sentiment,plot_subjectivity,Release Year,Release Month,netflix_director,Popular Actors,Running_bin
Drive,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.,"Action, Drama",Mature Audiences,119,2011-09-16,Tarun Mansukhani,"['Ryan Gosling', 'Carey Mulligan', 'Bryan Cranston']",United States,0,Dharma Productions,0,79,180,675070.0,7.8,"This action drama follows a mysterious man who has multiple jobs as a garage mechanic, a Hollywood stuntman and a getaway driver seems to be trying to escape his shady past as he falls for his neighbor - whose husband is in prison and who's looking after her child alone. Meanwhile, his garage mechanic boss is trying to set up a race team using gangland money, which implicates our driver as he is to be used as the race team's main driver. Our hero gets more than he bargained for when he meets the man who is married to the woman he loves.",a mysterious hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbors husband rob a pawn shop while serving as his getaway driver,this action drama follows a mysterious man who has multiple jobs as a garage mechanic a hollywood stuntman and a getaway driver seems to be trying to escape his shady past as he falls for his neighbor  whose husband is in prison and whos looking after her child alone meanwhile his garage mechanic boss is trying to set up a race team using gangland money which implicates our driver as he is to be used as the race teams main driver our hero gets more than he bargained for when he meets the man who is married to the woman he loves,0.06458333333333333,0.3822916666666667,2011,9,0,0,Medium
Holiday in the Wild,"Jilted by her husband on the eve of embarking on an African safari, a woman travels to the continent solo and meets an elephant conservationist.","Comedy, Drama, Romance",Parental Guidance,86,2019-11-01,Ernie Barbarash,"['Rob Lowe', 'Kristin Davis', 'Fezile Mpela']",United States,0,MPCA,0,0,0,16467.0,6.1,"Jilted by her husband on the eve of embarking on an African safari, a woman travels to the continent alone where she meets an elephant conservationist.",jilted by her husband on the eve of embarking on an african safari a woman travels to the continent solo and meets an elephant conservationist,jilted by her husband on the eve of embarking on an african safari a woman travels to the continent alone where she meets an elephant conservationist,0.0,0.0,2019,11,1,0,Medium
Let It Snow,"In a small town on Christmas Eve, a snowstorm brings together a group of young people.","Comedy, Romance",Parental Guidance,92,2019-11-08,Luke Snellin,"['Isabela Merced', 'Shameik Moore', 'Odeya Rush']",United States,0,Dylan Clark Productions,0,0,1,23712.0,5.8,"In a small town on Christmas Eve, a snowstorm brings together a group of young people.",in a small town on christmas eve a snowstorm brings together a group of young people,in a small town on christmas eve a snowstorm brings together a group of young people,-0.075,0.4,2019,11,0,0,Medium
Earthquake Bird,"An enigmatic translator with a dark past is brought in for questioning after an ex-pat friend, who came between her and her photographer boyfriend, ends up missing and presumed dead.","Crime, Drama, Mystery",Mature Audiences,107,2019-10-10,Wash Westmoreland,"['Alicia Vikander', 'Kiki Sukezane', 'Kenichi Masuda']",United Kingdom,1,Scott Free Productions,1,0,0,15360.0,6.0,"In 1989 Tokyo, Lucy Fly, an enigmatic expat haunted by a painful past, enters into an intense relationship with Teiji, a handsome yet similarly troubled local photographer. Lucy's imperturbable exterior begins to crack when a naive newcomer, Lily Bridges, becomes entangled in their lives and ends up missing - suspected dead.",an enigmatic translator with a dark past is brought in for questioning after an expat friend who came between her and her photographer boyfriend ends up missing and presumed dead,in 1989 tokyo lucy fly an enigmatic expat haunted by a painful past enters into an intense relationship with teiji a handsome yet similarly troubled local photographer lucys imperturbable exterior begins to crack when a naive newcomer lily bridges becomes entangled in their lives and ends up missing  suspected dead,-0.04999999999999998,0.6454545454545455,2019,10,0,0,Medium
House Arrest,"Desperate to keep their various parents from getting divorced, a group of teenagers kidnaps them and holds them prisoner in a basement to force them to reconcile.","Comedy, Family",Parental Guidance,104,1996-08-14,Samit Basu,"['Jamie Lee Curtis', 'Kevin Pollak', 'Kyle Howard']",United States,0,India Stories,0,0,1,9037.0,5.8,"High-schooler Grover Beindorf and his younger sister Stacy decide that their parents, Janet and Ned, are acting childishly when they decide to divorce after 18 years of marriage, so they lock them up in the basement until they'll sort out their problems. Their schoolfriends also decide to do the same with their parents to solve their respective problems.",desperate to keep their various parents from getting divorced a group of teenagers kidnaps them and holds them prisoner in a basement to force them to reconcile,highschooler grover beindorf and his younger sister stacy decide that their parents janet and ned are acting childishly when they decide to divorce after 18 years of marriage so they lock them up in the basement until theyll sort out their problems their schoolfriends also decide to do the same with their parents to solve their respective problems,-0.04,0.20500000000000002,1996,8,0,0,Medium
Klaus,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Animation, Adventure, Comedy",Parental Guidance,97,2019-11-15,Sergio Pablos,"['Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones']",Spain,1,Netflix,1,11,26,169315.0,8.2,"When Jesper (Jason Schwartzman) distinguishes himself as the postal academy's worst student, he is stationed on a frozen island above the Arctic Circle, where the feuding locals hardly exchange words let alone letters. Jesper is about to give up when he finds an ally in local teacher Alva (Rashida Jones), and discovers Klaus (Oscar® winner J.K. Simmons), a mysterious carpenter who lives alone in a cabin full of handmade toys. These unlikely friendships return laughter to Smeerensburg, forging a new legacy of generous neighbors, magical lore and stockings hung by the chimney with care. An animated Christmas comedy directed by Despicable Me co-creator Sergio Pablos, KLAUS co-stars Rashida Jones, Jason Schwartzman and JK Simmons.",a simple act of kindness always sparks another even in a frozen faraway place when smeerensburgs new postman jesper befriends toymaker klaus their gifts melt an ageold feud and deliver a sleigh full of holiday traditions,when jesper jason schwartzman distinguishes himself as the postal academys worst student he is stationed on a frozen island above the arctic circle where the feuding locals hardly exchange words let alone letters jesper is about to give up when he finds an ally in local teacher alva rashida jones and discovers klaus oscar winner jk simmons a mysterious carpenter who lives alone in a cabin full of handmade toys these unlikely friendships return laughter to smeerensburg forging a new legacy of generous neighbors magical lore and stockings hung by the chimney with care an animated christmas comedy directed by despicable me cocreator sergio pablos klaus costars rashida jones jason schwartzman and jk simmons,-0.08947811447811452,0.5718013468013468,2019,11,0,0,Medium
The Knight Before Christmas,A medieval English knight is magically transported to present-day America where he falls for a high school science teacher who is disillusioned by love.,"Adventure, Comedy, Drama",Parental Guidance,92,2019-11-21,Monika Mitchell,"['Vanessa Hudgens', 'Josh Whitehouse', 'Emmanuelle Chriqui']",United States,0,MPCA,1,1,2,19320.0,5.6,"After a sorceress transports medieval knight Sir Cole (Josh Whitehouse) to present-day Ohio during the holiday season, he befriends Brooke (Vanessa Hudgens), a clever and kind science teacher who's been disillusioned by love. Brooke helps Sir Cole navigate the modern world and tries to help him discover how to fulfill his mysterious one true quest - the only act that will return him home. But as he and Brooke grow closer, Sir Cole begins to wonder just how much he wants to return to his old life.",a medieval english knight is magically transported to presentday america where he falls for a high school science teacher who is disillusioned by love,after a sorceress transports medieval knight sir cole josh whitehouse to presentday ohio during the holiday season he befriends brooke vanessa hudgens a clever and kind science teacher whos been disillusioned by love brooke helps sir cole navigate the modern world and tries to help him discover how to fulfill his mysterious one true quest  the only act that will return him home but as he and brooke grow closer sir cole begins to wonder just how much he wants to return to his old life,0.1833333333333333,0.543939393939394,2019,11,1,1,Medium
The Irishman,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa.","Biography, Crime, Drama",Mature Audiences,209,2019-09-27,Martin Scorsese,"['Robert De Niro', 'Al Pacino', 'Joe Pesci']",United States,0,Tribeca Productions,1,73,356,408826.0,7.8,"Frank ""The Irishman"" Sheeran is a man with a lot on his mind. The former labor union high official and hitman, learned to kill serving in Italy during the Second World War. He now looks back on his life and the hits that defined his mob career, maintaining connections with the Bufalino crime family. In particular, the part he claims to have played in the disappearance of his life-long friend, Jimmy Hoffa, the former president of the International Brotherhood of Teamsters, who mysteriously vanished in late July 1975 at the age of 62.",an illustration of frank sheerans life from wwii veteran to hitman for the bufalino crime family and his alleged assassination of his close friend jimmy hoffa,frank the irishman sheeran is a man with a lot on his mind the former labor union high official and hitman learned to kill serving in italy during the second world war he now looks back on his life and the hits that defined his mob career maintaining connections with the bufalino crime family in particular the part he claims to have played in the disappearance of his lifelong friend jimmy hoffa the former president of the international brotherhood of teamsters who mysteriously vanished in late july 1975 at the age of 62,-0.007333333333333333,0.30733333333333335,2019,9,1,0,Long
Holiday Rush,"After his sudden firing, a popular radio DJ moves in with his aunt, bringing along his four spoiled children, and a plan to return to the airwaves.","Comedy, Drama, Family",Parental Guidance,94,2019-11-28,Leslie Small,"['Romany Malco', 'Sonequa Martin-Green', 'Darlene Love']",United States,0,Poke Prod Production,0,0,3,2990.0,4.9,"Single dad and radio DJ Rashon ""Rush"" Williams (Romany Malco) loses his job right as his four entitled kids share their pricey Christmas lists. To keep Rush on the air in Pittsburgh, his producer and aunt plan to help him buy another station - if the Williams family can downsize fast and embrace a simpler life. In this heartwarming film, a loving father reconnects with his children when they all learn that true joy comes from who you have, not what you have.",after his sudden firing a popular radio dj moves in with his aunt bringing along his four spoiled children and a plan to return to the airwaves,single dad and radio dj rashon rush williams romany malco loses his job right as his four entitled kids share their pricey christmas lists to keep rush on the air in pittsburgh his producer and aunt plan to help him buy another station  if the williams family can downsize fast and embrace a simpler life in this heartwarming film a loving father reconnects with his children when they all learn that true joy comes from who you have not what you have,0.26632653061224487,0.4642857142857143,2019,11,0,0,Medium
Dead Kids,A socially awkward teen bonds with a group of misfits who plot to abduct the schools arrogant rich kid until their kidnapping scheme turns deadly.,Thriller,Mature Audiences,94,2019-11-17,Mikhail Red,"['Kelvin Miranda', 'Vance Larena', 'Khalil Ramos']",Philippines,1,Globe Studios,1,0,0,637.0,5.5,"Tired of being tormented by popular rich kid Chuck Santos, the boys hatch a plot to kidnap the bully and demand a sizable ransom from his drug lord father. Once their nefarious plan gets going though, they realize how much they were in over their heads",a socially awkward teen bonds with a group of misfits who plot to abduct the schools arrogant rich kid until their kidnapping scheme turns deadly,tired of being tormented by popular rich kid chuck santos the boys hatch a plot to kidnap the bully and demand a sizable ransom from his drug lord father once their nefarious plan gets going though they realize how much they were in over their heads,0.19374999999999998,0.6375000000000001,2019,11,0,0,Medium
A Christmas Prince: The Royal Baby,"It's Christmastime in Aldovia, and a royal baby is on the way. Amber and Richard host royals from a distant kingdom to renew a sacred truce, but when the treaty vanishes, peace is jeopardized and an ancient curse threatens their f...","Family, Romance",Parental Guidance,85,2019-12-05,John Schultz,"['Rose McIver', 'Ben Lamb', 'Alice Krige']",United States,0,MPCA,0,0,0,7423.0,5.4,"It's Christmastime in Aldovia, and a a royal baby is on the way. Queen Amber (Rose McIver) and King Richard (Ben Lamb) are getting ready to take some time off to prepare for their first child's arrival, but first they have to host King Tai (Kevin Shen) and Queen Ming (Momo Yeung) of Penglia to renew a 600-year-old sacred truce. But when a snowstorm hits on Christmas Eve and the priceless treaty goes missing, peace is jeopardized and an ancient curse looms. Amber will have to figure out who the thief is before before the clock strikes midnight, for the safety of her family and the kingdom.",its christmastime in aldovia and a royal baby is on the way amber and richard host royals from a distant kingdom to renew a sacred truce but when the treaty vanishes peace is jeopardized and an ancient curse threatens their f,its christmastime in aldovia and a a royal baby is on the way queen amber rose mciver and king richard ben lamb are getting ready to take some time off to prepare for their first childs arrival but first they have to host king tai kevin shen and queen ming momo yeung of penglia to renew a 600yearold sacred truce but when a snowstorm hits on christmas eve and the priceless treaty goes missing peace is jeopardized and an ancient curse looms amber will have to figure out who the thief is before before the clock strikes midnight for the safety of her family and the kingdom,0.3499999999999999,0.5277777777777778,2019,12,1,1,Medium
Marriage Story,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,"Drama, Romance",Mature Audiences,137,2019-08-29,Noah Baumbach,"['Adam Driver', 'Scarlett Johansson', 'Julia Greer']",United Kingdom,1,Heyday Films,0,127,271,328827.0,7.9,"MARRIAGE STORY is Academy Award nominated filmmaker Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together. The film stars Scarlett Johansson and Adam Driver. Laura Dern, Alan Alda, and Ray Liotta co-star.",noah baumbachs incisive and compassionate look at a marriage breaking up and a family staying together,marriage story is academy award nominated filmmaker noah baumbachs incisive and compassionate look at a marriage breaking up and a family staying together the film stars scarlett johansson and adam driver laura dern alan alda and ray liotta costar,0.0,0.0,2019,8,1,0,Long
6 Underground,"Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.","Action, Thriller",Mature Audiences,128,2019-12-10,Michael Bay,"['Ryan Reynolds', 'Mélanie Laurent', 'Manuel Garcia-Rulfo']",United States,0,Skydance,1,2,12,188478.0,6.1,"What's the best part of being dead? It's the freedom. The freedom to fight the evil which lurks in our world. 6 Underground's group of unnamed individuals have chosen to change the future. The team's brought together by enigmatic leader code-named 'One', whose sole mission is to ensure that, he and his fellow teammates will have their actions remembered.",six individuals from all around the globe each the very best at what they do have been chosen not only for their skill but for a unique desire to delete their pasts to change the future,whats the best part of being dead its the freedom the freedom to fight the evil which lurks in our world 6 undergrounds group of unnamed individuals have chosen to change the future the teams brought together by enigmatic leader codenamed one whose sole mission is to ensure that he and his fellow teammates will have their actions remembered,-0.01666666666666666,0.4458333333333333,2019,12,0,1,Long
The Two Popes,"Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church.","Biography, Comedy, Drama",Parental Guidance,125,2019-08-31,Fernando Meirelles,"['Jonathan Pryce', 'Anthony Hopkins', 'Juan Minujín']",United Kingdom,1,Rideback,0,11,57,129156.0,7.6,"An intimate story of one of the most dramatic transitions of power in the last 2,000 years. Frustrated with the direction of the church, Cardinal Bergoglio (Jonathan Pryce) requests permission to retire in 2012 from Pope Benedict (Anthony Hopkins). Instead, facing scandal and self-doubt, the introspective Pope Benedict summons his harshest critic and future successor to Rome to reveal a secret that would shake the foundations of the Catholic Church. Behind Vatican walls, a struggle commences between both tradition and progress, guilt and forgiveness, as these two very different men confront their pasts in order to find common ground and forge a future for a billion followers around the world. Inspired by true events.",behind vatican walls the conservative pope benedict xvi and the liberal future pope francis must find common ground to forge a new path for the catholic church,an intimate story of one of the most dramatic transitions of power in the last 2000 years frustrated with the direction of the church cardinal bergoglio jonathan pryce requests permission to retire in 2012 from pope benedict anthony hopkins instead facing scandal and selfdoubt the introspective pope benedict summons his harshest critic and future successor to rome to reveal a secret that would shake the foundations of the catholic church behind vatican walls a struggle commences between both tradition and progress guilt and forgiveness as these two very different men confront their pasts in order to find common ground and forge a future for a billion followers around the world inspired by true events,-0.09102564102564105,0.4343589743589744,2019,8,0,0,Long
Como caído del cielo,Mexican legend Pedro Infante receives another opportunity on earth to redeem himself for his forays with women and earn heaven in the body of an imitator.,"Comedy, Drama, Musical",Mature Audiences,112,2019-12-24,José Pepe Bojórquez,"['Omar Chaparro', 'Ana Claudia Talancón', 'Stephanie Cayo']",Mexico,0,Caldera/De Fanti Entertainment,1,0,0,1538.0,6.5,Mexican legend Pedro Infante receives another opportunity on earth to redeem himself for his forays with women and earn heaven in the body of an imitator.,mexican legend pedro infante receives another opportunity on earth to redeem himself for his forays with women and earn heaven in the body of an imitator,mexican legend pedro infante receives another opportunity on earth to redeem himself for his forays with women and earn heaven in the body of an imitator,0.0,0.0,2019,12,0,0,Medium
The App,"Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, Niccolò becomes obsessed and sent into a self-destructive spiral.","Drama, Sci-Fi, Thriller",Not Rated,79,2019-12-26,Elisa Fuksas,"['Salvatore Costa', 'Vincenzo Crea', 'Jessica Cressy']",Italy,0,Indiana Production Company,1,0,0,1401.0,2.8,"Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, Niccolò becomes obsessed and sent into a self-destructive spiral.",loving girlfriend family fortune breakout movie role hes got it all until an app awakens a powerful new yearning while in rome to shoot his first movie niccolò becomes obsessed and sent into a selfdestructive spiral,loving girlfriend family fortune breakout movie role hes got it all until an app awakens a powerful new yearning while in rome to shoot his first movie niccolò becomes obsessed and sent into a selfdestructive spiral,0.15727272727272723,0.7475757575757576,2019,12,0,0,Medium
ReMastered: Massacre at the Stadium,"This documentary questions who killed Victor Jara, Chilean musician and activist who died during the dictatorship in his country.","Documentary, Drama",Mature Audiences,64,2019-01-11,B.J. Perlmutt,"['Víctor Jara', 'Joan Jara', 'Pascale Bonnefoy']",United States,0,No Production Company Listed,1,0,2,837.0,7.3,"This documentary questions who killed Victor Jara, Chilean musician and activist who died during the dictatorship in his country.",this documentary questions who killed victor jara chilean musician and activist who died during the dictatorship in his country,this documentary questions who killed victor jara chilean musician and activist who died during the dictatorship in his country,-0.1,0.0,2019,1,0,0,Medium
Fyre,An exclusive behind the scenes look at the infamous unraveling of the Fyre music festival.,"Documentary, Crime, Music",Mature Audiences,97,2019-01-18,Chris Smith,"['Billy McFarland', 'Jason Bell', 'Gabrielle Bluestone']",United States,0,Jerry Media,1,0,6,50162.0,7.2,An exclusive behind the scenes look at the infamous unraveling of the Fyre music festival.,an exclusive behind the scenes look at the infamous unraveling of the fyre music festival,an exclusive behind the scenes look at the infamous unraveling of the fyre music festival,-0.45,0.85,2019,1,1,0,Medium
ReMastered: The Two Killings of Sam Cooke,An investigation into the circumstances and controversy surrounding Sam Cooke's murder.,"Documentary, Music",Mature Audiences,74,2019-02-08,Kelly Duane,"['Sam Cooke', 'Quincy Jones', 'Smokey Robinson']",United States,0,No Production Company Listed,1,0,1,2384.0,7.2,An investigation into the circumstances and controversy surrounding Sam Cooke's murder.,an investigation into the circumstances and controversy surrounding sam cookes murder,an investigation into the circumstances and controversy surrounding sam cookes murder,0.0,0.0,2019,2,0,0,Medium
Period. End of Sentence.,Indian women fight the stigma surrounding menstruation and begin manufacturing sanitary pads.,"Documentary, Short",Parental Guidance,25,2018-04-05,Rayka Zehtabchi,"['Ajeya', 'Anita', 'Gouri Choudari']",United States,0,No Production Company Listed,1,13,1,6302.0,7.4,"In a rural village outside Delhi, India, women lead a quiet revolution. They fight against the deeply rooted stigma of menstruation. ""Period. End of Sentence."" -- a documentary short directed by Rayka Zehtabchi -- tells their story. For generations, these women didn't have access to pads, which lead to health problems and girls missing school or dropping out entirely. But when a sanitary pad machine is installed in the village, the women learn to manufacture and market their own pads, empowering the women of their community. They name their brand ""FLY,"" because they want women ""to soar."" Their flight is, in part, enabled by the work of high school girls half a world away, in California, who raised the initial money for the machine and began a non-profit called ""The Pad Project.""",indian women fight the stigma surrounding menstruation and begin manufacturing sanitary pads,in a rural village outside delhi india women lead a quiet revolution they fight against the deeply rooted stigma of menstruation period end of sentence  a documentary short directed by rayka zehtabchi  tells their story for generations these women didnt have access to pads which lead to health problems and girls missing school or dropping out entirely but when a sanitary pad machine is installed in the village the women learn to manufacture and market their own pads empowering the women of their community they name their brand fly because they want women to soar their flight is in part enabled by the work of high school girls half a world away in california who raised the initial money for the machine and began a nonprofit called the pad project,0.09179487179487178,0.33576923076923076,2018,4,0,0,Short
ReMastered: The Miami Showband Massacre,"In 1974, while on the way home from a gig, the apolitical rock group, The Miami Showband, fell into the crosshairs of a Protestant unionist paramilitary group that planted explosives on their bus when it was stopped at a fake chec...","Documentary, Crime, Music",Not Rated,71,2019-03-22,Stuart Sender,"['Stephen Travers', 'Bertie Ahern', 'Alan Brecknell']",United States,0,No Production Company Listed,1,0,1,1535.0,6.9,"In 1974, while on the way home from a gig, the apolitical rock group, The Miami Showband, fell into the crosshairs of a Protestant unionist paramilitary group that planted explosives on their bus when it was stopped at a fake chec...",in 1974 while on the way home from a gig the apolitical rock group the miami showband fell into the crosshairs of a protestant unionist paramilitary group that planted explosives on their bus when it was stopped at a fake chec,in 1974 while on the way home from a gig the apolitical rock group the miami showband fell into the crosshairs of a protestant unionist paramilitary group that planted explosives on their bus when it was stopped at a fake chec,-0.5,1.0,2019,3,0,0,Medium
The Legend of Cocaine Island,A desperate man goes on a buried treasure hunt for $2 million worth of cocaine.,Documentary,Mature Audiences,83,2018-04-20,Theo Love,"['Bo Butterworth', 'Bri Bryant', 'Edward Craig']",United States,0,No Production Company Listed,1,2,1,3470.0,6.3,A desperate man goes on a buried treasure hunt for $2 million worth of cocaine.,a desperate man goes on a buried treasure hunt for 2 million worth of cocaine,a desperate man goes on a buried treasure hunt for 2 million worth of cocaine,-0.15,0.55,2018,4,0,0,Medium
Brené Brown: The Call to Courage,Brené Brown compares courage to vulnerability and gives her audience a call to take chances.,"Documentary, Drama",Not Rated,76,2019-04-19,Sandra Restrepo,['Brené Brown'],United States,0,No Production Company Listed,1,0,0,1742.0,7.7,Brené Brown compares courage to vulnerability and gives her audience a call to take chances.,brené brown compares courage to vulnerability and gives her audience a call to take chances,brené brown compares courage to vulnerability and gives her audience a call to take chances,0.0,0.0,2019,4,0,0,Medium
Grass Is Greener,A look at America's complicated relationship with cannabis.,Documentary,Mature Audiences,97,2019-04-20,Fab 5 Freddy,"['Harry J. Anslinger', 'Louis Armstrong', 'B-Real']",United States,0,No Production Company Listed,1,0,0,1483.0,7.1,A look at America's complicated relationship with cannabis.,a look at americas complicated relationship with cannabis,a look at americas complicated relationship with cannabis,-0.5,1.0,2019,4,0,0,Medium
ReMastered: Devil at the Crossroads,"A look at the short, mysterious life of blues legend, Robert Johnson, who was said to have made a deal with the Devil at a crossroads in rural Mississippi.","Documentary, Biography",Not Rated,48,2019-04-26,Brian Oakes,"['Terry Harmonica Bean', 'Rory Block', 'Yvonne Chireau']",United States,0,No Production Company Listed,1,0,1,2972.0,7.0,"A look at the short, mysterious life of blues legend, Robert Johnson, who was said to have made a deal with the Devil at a crossroads in rural Mississippi.",a look at the short mysterious life of blues legend robert johnson who was said to have made a deal with the devil at a crossroads in rural mississippi,a look at the short mysterious life of blues legend robert johnson who was said to have made a deal with the devil at a crossroads in rural mississippi,0.0,0.43333333333333335,2019,4,1,0,Short
Knock Down the House,A look at the people involved with various political campaigns during the 2018 U.S. congressional election.,Documentary,Parental Guidance,86,2019-01-27,Rachel Lears,"['Alexandria Ocasio-Cortez', 'Cori Bush', 'Joe Crowley']",United States,0,Jubilee Films,1,6,13,12868.0,7.4,"Four exceptional women mount grassroots campaigns against powerful incumbents in Knock Down the House, an inspiring look at the 2018 midterm elections that tipped the balance of power. When tragedy struck her family in the middle of the financial crisis, Bronx-born Alexandria Ocasio-Cortez had to work double shifts as a bartender to save her home from foreclosure. After losing a loved one to a preventable medical condition, Amy Vilela didn't know what to do with the anger she felt about America's broken health care system. Cori Bush, a registered nurse and pastor, was drawn to the streets when the police shooting of an unarmed black man brought protests and tanks into her neighborhood. A coal miner's daughter, Paula Jean Swearengin was fed up with watching her friends and family suffer from the environmental effects of the coal industry.",a look at the people involved with various political campaigns during the 2018 us congressional election,four exceptional women mount grassroots campaigns against powerful incumbents in knock down the house an inspiring look at the 2018 midterm elections that tipped the balance of power when tragedy struck her family in the middle of the financial crisis bronxborn alexandria ocasiocortez had to work double shifts as a bartender to save her home from foreclosure after losing a loved one to a preventable medical condition amy vilela didnt know what to do with the anger she felt about americas broken health care system cori bush a registered nurse and pastor was drawn to the streets when the police shooting of an unarmed black man brought protests and tanks into her neighborhood a coal miners daughter paula jean swearengin was fed up with watching her friends and family suffer from the environmental effects of the coal industry,0.062037037037037036,0.42685185185185187,2019,1,0,0,Medium
All in My Family,"From documentarian Hao Wu comes a heartfelt portrait of how he created a thoroughly modern family in America, only to face the dilemma of introducing his same-sex partner and their children to his deeply traditional parents and re...","Documentary, Short, Family",Not Rated,39,2019-05-03,Hao Wu,['No Cast Available'],United States,0,No Production Company Listed,1,0,0,750.0,6.8,"From documentarian Hao Wu comes a heartfelt portrait of how he created a thoroughly modern family in America, only to face the dilemma of introducing his same-sex partner and their children to his deeply traditional parents and relatives in China.",from documentarian hao wu comes a heartfelt portrait of how he created a thoroughly modern family in america only to face the dilemma of introducing his samesex partner and their children to his deeply traditional parents and re,from documentarian hao wu comes a heartfelt portrait of how he created a thoroughly modern family in america only to face the dilemma of introducing his samesex partner and their children to his deeply traditional parents and relatives in china,0.05,0.7625,2019,5,0,0,Short
ReMastered: The Lion's Share,"South African journalist Rian Malan searches for the original writers of the legendary song ""The Lion Sleeps Tonight.""","Documentary, Music",Not Rated,84,2018-10-12,Sam Cullman,"['Rian Malan', 'Solomon Linda', 'Delphi Linda']",United States,0,No Production Company Listed,1,2,1,684.0,6.9,"South African journalist Rian Malan searches for the original writers of the legendary song ""The Lion Sleeps Tonight.""",south african journalist rian malan searches for the original writers of the legendary song the lion sleeps tonight,south african journalist rian malan searches for the original writers of the legendary song the lion sleeps tonight,0.4583333333333333,0.5833333333333334,2018,10,0,0,Medium
A Tale of Two Kitchens,"Two countries, two restaurants, one vision. A Tale of Two Kitchens explores the ways in which a restaurant can serve as a place of both dignity and community.","Documentary, Short",Not Rated,29,2019-05-22,Trisha Ziff,['No Cast Available'],United States,1,No Production Company Listed,1,0,0,314.0,6.3,"Two countries, two restaurants, one vision. At Gabriela Cámara's acclaimed Contramar in Mexico City, the welcoming, uniformed waiters are as beloved by diners as the menu featuring fresh, local seafood caught within 24 hours. The entire staff sees themselves as part of an extended family. Meanwhile at Cala in San Francisco, Cámara hires staff from different backgrounds and cultures, including ex-felons and ex-addicts, who view the work as an important opportunity to grow as individuals. A Tale of Two Kitchens explores the ways in which a restaurant can serve as a place of both dignity and community.",two countries two restaurants one vision a tale of two kitchens explores the ways in which a restaurant can serve as a place of both dignity and community,two countries two restaurants one vision at gabriela cámaras acclaimed contramar in mexico city the welcoming uniformed waiters are as beloved by diners as the menu featuring fresh local seafood caught within 24 hours the entire staff sees themselves as part of an extended family meanwhile at cala in san francisco cámara hires staff from different backgrounds and cultures including exfelons and exaddicts who view the work as an important opportunity to grow as individuals a tale of two kitchens explores the ways in which a restaurant can serve as a place of both dignity and community,0.2333333333333333,0.6208333333333333,2019,5,0,0,Short
After Maria,Strong Puerto Rican women forced to flee the island after Hurricane Maria have bonded like family in a FEMA hotel in the Bronx. They seek stability in their new life as forces try to pull them apart.,"Documentary, Short",Not Rated,37,2019-04-28,Nadia Hallgren,['Glenda Martes'],United States,0,One Story Up Productions,0,0,2,423.0,4.9,Strong Puerto Rican women forced to flee the island after Hurricane Maria have bonded like family in a FEMA hotel in the Bronx. They seek stability in their new life as forces try to pull them apart.,strong puerto rican women forced to flee the island after hurricane maria have bonded like family in a fema hotel in the bronx they seek stability in their new life as forces try to pull them apart,strong puerto rican women forced to flee the island after hurricane maria have bonded like family in a fema hotel in the bronx they seek stability in their new life as forces try to pull them apart,0.08989898989898987,0.46262626262626266,2019,4,1,0,Short
The Black Godfather,"Follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics.","Documentary, Biography",Mature Audiences,118,2019-06-07,Reginald Hudlin,"['Clarence Avant', 'Hank Aaron', 'Gwen Adolph']",United States,0,Boardwalk Pictures Makemake,0,4,5,1444.0,7.5,"Follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics.",follows the life of clarence avant the ultimate uncensored mentor and behindthescenes rainmaker in music film tv and politics,follows the life of clarence avant the ultimate uncensored mentor and behindthescenes rainmaker in music film tv and politics,0.0,1.0,2019,6,0,0,Medium
